Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10
1871-01-01,4.44,0.26,0.4,12.46406,5.32,118.64892,6.94791,10.68909,0.0
1871-02-01,4.5,0.26,0.4,12.84464,5.32333,116.68927,6.74205,10.37238,0.0
1871-03-01,4.61,0.26,0.4,13.03497,5.32667,117.79619,6.6436,10.22093,0.0
1871-04-01,4.74,0.26,0.4,12.55923,5.33,125.70596,6.89526,10.6081,0.0
1871-05-01,4.86,0.26,0.4,12.27381,5.33333,131.88555,7.05561,10.85478,0.0
1871-06-01,4.82,0.26,0.4,12.08348,5.33667,132.86035,7.16674,11.02575,0.0
1871-07-01,4.73,0.26,0.4,12.08348,5.34,130.37955,7.16674,11.02575,0.0
1871-08-01,4.79,0.26,0.4,11.89323,5.34333,134.14548,7.28138,11.20213,0.0
1871-09-01,4.84,0.26,0.4,12.17865,5.34667,132.36914,7.11074,10.9396,0.0
1871-10-01,4.59,0.26,0.4,12.3689,5.35,123.60105,7.00137,10.77133,0.0
1871-11-01,4.64,0.26,0.4,12.3689,5.35333,124.94747,7.00137,10.77133,0.0
1871-12-01,4.74,0.26,0.4,12.65439,5.35667,124.76061,6.84341,10.52832,0.0
1872-01-01,4.86,0.2633,0.4025,12.65439,5.36,127.9191,6.93027,10.59412,0.0
1872-02-01,4.88,0.2667,0.405,12.65439,5.37833,128.44552,7.01976,10.65993,0.0
1872-03-01,5.04,0.27,0.4075,12.84464,5.39667,130.69199,7.00136,10.56686,0.0
1872-04-01,5.18,0.2733,0.41,13.13014,5.415,131.40168,6.93283,10.40052,0.0
1872-05-01,5.18,0.2767,0.4125,13.13014,5.43333,131.40168,7.01908,10.46394,0.0
1872-06-01,5.13,0.28,0.415,13.03497,5.45167,131.08339,7.15465,10.60421,0.0
1872-07-01,5.1,0.2833,0.4175,12.84464,5.47,132.24784,7.34624,10.82617,0.0
1872-08-01,5.04,0.2867,0.42,12.93981,5.48833,129.73082,7.37973,10.8109,0.0
1872-09-01,4.95,0.29,0.4225,13.03497,5.50667,126.48398,7.41017,10.79585,0.0
1872-10-01,4.97,0.2933,0.425,12.74948,5.525,129.83879,7.66232,11.10291,0.0
1872-11-01,4.95,0.2967,0.4275,13.13014,5.54333,125.56724,7.52642,10.84444,0.0
1872-12-01,5.07,0.3,0.43,12.93981,5.56167,130.50303,7.72207,11.0683,0.0
1873-01-01,5.11,0.3025,0.4325,12.93981,5.58,131.53264,7.78642,11.13265,0.0
1873-02-01,5.15,0.305,0.435,13.22522,5.57083,129.70141,7.68135,10.95536,0.0
1873-03-01,5.11,0.3075,0.4375,13.22522,5.56167,128.69402,7.74431,11.01832,0.0
1873-04-01,5.04,0.31,0.44,13.22522,5.5525,126.93108,7.80727,11.08129,0.0
1873-05-01,5.05,0.3125,0.4425,12.93981,5.54333,129.98822,8.04383,11.39006,0.0
1873-06-01,4.98,0.315,0.445,12.55923,5.53417,132.07082,8.35388,11.80151,0.0
1873-07-01,4.97,0.3175,0.4475,12.55923,5.525,131.80561,8.42018,11.86781,0.0
