Date,GSPC_MonthlyAvg
1950-01,16.8757
1950-02,17.1928
1950-03,17.3465
1950-04,17.8453
1950-05,18.4345
1950-06,18.7368
1950-07,17.3840
1950-08,18.4330
1950-09,19.0845
1950-10,19.8595
1950-11,19.7985
1950-12,19.7455
1951-01,21.2045
1951-02,21.9789
1951-03,21.6176
1951-04,21.8848
1951-05,21.9382
1951-06,21.5462
1951-07,21.9319
1951-08,22.8922
1951-09,23.4842
1951-10,23.3677
1951-11,22.7137
1951-12,23.4215
1952-01,24.1814
1952-02,23.6989
1952-03,23.8100
1952-04,23.7319
1952-05,23.7329
1952-06,24.3810
1952-07,25.0795
1952-08,25.1824
1952-09,24.7819
1952-10,24.2559
1952-11,25.0294
1952-12,26.0395
1953-01,26.1800
1953-02,25.8978
1953-03,25.9923
1953-04,24.7124
1953-05,24.8371
1953-06,23.9518
1953-07,24.2948
1953-08,24.3895
1953-09,23.2690
1953-10,23.9667
1953-11,24.5006
1953-12,24.8273
1954-01,25.4615
1954-02,26.0184
1954-03,26.5717
1954-04,27.6152
1954-05,28.7345
1954-06,28.9609
1954-07,30.1267
1954-08,30.7295
1954-09,31.4548
1954-10,32.1767
1954-11,33.4420
1954-12,35.0082
1955-01,35.5962
1955-02,36.7911
1955-03,36.5009
1955-04,37.7550
1955-05,37.6029
1955-06,39.8750
1955-07,42.6920
1955-08,42.4300
1955-09,44.3414
1955-10,42.1233
1955-11,44.9470
1955-12,45.3905
1956-01,44.1452
1956-02,44.4300
1956-03,47.4871
1956-04,48.0519
1956-05,46.5373
1956-06,46.2686
1956-07,48.7781
1956-08,48.4613
1956-09,46.7868
1956-10,46.2430
1956-11,45.7585
1956-12,46.4437
1957-01,45.4250
1957-02,43.4663
1957-03,44.0262
1957-04,45.0471
1957-05,46.7795
1957-06,47.5990
1957-07,48.5168
1957-08,45.8350
1957-09,44.0105
1957-10,41.2357
1957-11,40.3474
1957-12,40.3257
1958-01,41.1227
1958-02,41.2615
1958-03,42.1086
1958-04,42.3352
1958-05,43.7076
1958-06,44.7386
1958-07,45.9750
1958-08,47.7014
1958-09,48.9743
1958-10,50.9600
1958-11,52.5406
1958-12,53.4857
1959-01,55.6205
1959-02,54.7884
1959-03,56.1481
1959-04,57.0986
1959-05,57.9924
1959-06,57.4605
1959-07,59.7359
1959-08,59.4010
1959-09,57.0595
1959-10,57.0018
1959-11,57.2332
1959-12,59.0550
1960-01,58.0290
1960-02,55.7750
1960-03,55.0152
1960-04,55.7000
1960-05,55.2152
1960-06,57.2632
1960-07,55.8400
1960-08,56.5052
1960-09,54.8029
1960-10,53.7433
1960-11,55.4850
1960-12,56.8000
1961-01,59.7262
1961-02,62.1726
1961-03,64.0891
1961-04,65.9340
1961-05,66.4990
1961-06,65.5750
1961-07,65.4385
1961-08,67.7896
1961-09,67.2280
1961-10,67.9291
1961-11,71.0765
1961-12,71.7410
1962-01,69.0677
1962-02,70.2216
1962-03,70.2918
1962-04,68.0575
1962-05,62.9945
1962-06,55.6286
1962-07,56.9695
1962-08,58.5274
1962-09,57.9979
1962-10,56.1683
1962-11,60.0435
1962-12,62.6145
1963-01,65.0623
1963-02,65.9226
1963-03,65.6729
1963-04,68.7590
1963-05,70.1386
1963-06,70.1090
1963-07,69.0723
1963-08,70.9805
1963-09,72.8495
1963-10,73.0204
1963-11,72.6239
1963-12,74.1738
1964-01,76.4523
1964-02,77.3900
1964-03,78.7995
1964-04,79.9368
1964-05,80.7325
1964-06,80.2427
1964-07,83.2223
1964-08,82.0000
1964-09,83.4086
1964-10,84.8486
1964-11,85.4384
1964-12,83.9600
1965-01,86.1165
1965-02,86.7468
1965-03,86.8339
1965-04,87.9667
1965-05,89.2795
1965-06,85.0900
1965-07,84.9052
1965-08,86.4873
1965-09,89.3790
1965-10,91.3948
1965-11,92.1460
1965-12,91.7345
1966-01,93.3162
1966-02,92.6826
1966-03,88.8778
1966-04,91.5955
1966-05,86.7819
1966-06,86.0600
1966-07,85.8385
1966-08,80.6509
1966-09,77.8148
1966-10,77.1290
1966-11,80.9945
1966-12,81.3271
1967-01,84.4505
1967-02,87.3668
1967-03,89.4177
1967-04,90.9595
1967-05,92.5905
1967-06,91.4336
1967-07,92.9890
1967-08,94.4939
