Date,IRX_MonthlyAvg
1960-01,4.3520
1960-02,3.9642
1960-03,3.3148
1960-04,3.2255
1960-05,3.2890
1960-06,2.4564
1960-07,2.2970
1960-08,2.2970
1960-09,2.4790
1960-10,2.3025
1960-11,2.3700
1960-12,2.2495
1961-01,2.2429
1961-02,2.4161
1961-03,2.3864
1961-04,2.2890
1961-05,2.2824
1961-06,2.3345
1961-07,2.2370
1961-08,2.3922
1961-09,2.2820
1961-10,2.2986
1961-11,2.4760
1961-12,2.6030
1962-01,2.7195
1962-02,2.7328
1962-03,2.7232
1962-04,2.7295
1962-05,2.6850
1962-06,2.7281
1962-07,2.9219
1962-08,2.8230
1962-09,2.7758
1962-10,2.7414
1962-11,2.8305
1962-12,2.8660
1963-01,2.9082
1963-02,2.9211
1963-03,2.8929
1963-04,2.8976
1963-05,2.9250
1963-06,2.9885
1963-07,3.1764
1963-08,3.3223
1963-09,3.3765
1963-10,3.4496
1963-11,3.5194
1963-12,3.5190
1964-01,3.5232
1964-02,3.5306
1964-03,3.5438
1964-04,3.4714
1964-05,3.4750
1964-06,3.4755
1964-07,3.4605
1964-08,3.4967
1964-09,3.5319
1964-10,3.5719
1964-11,3.6433
1964-12,3.8350
1965-01,3.8070
1965-02,3.9306
1965-03,3.9296
1965-04,3.9267
1965-05,3.8900
1965-06,3.8045
1965-07,3.8352
1965-08,3.8427
1965-09,3.9238
1965-10,4.0260
1965-11,4.0879
1965-12,4.3827
1966-01,4.5867
1966-02,4.6516
1966-03,4.5865
1966-04,4.6180
1966-05,4.6371
1966-06,4.4995
1966-07,4.7975
1966-08,4.9600
1966-09,5.3676
1966-10,5.3465
1966-11,5.3195
1966-12,4.9648
1967-01,4.7200
1967-02,4.5611
1967-03,4.2591
1967-04,3.8375
1967-05,3.6032
1967-06,3.5359
1967-07,4.2055
1967-08,4.2657
1967-09,4.4245
1967-10,4.5576
1967-11,4.7270
1967-12,4.9690
1968-01,4.9959
1968-02,4.9789
1968-03,5.1657
1968-04,5.3770
1968-05,5.6559
1968-06,5.5259
1968-07,5.3147
1968-08,5.0800
1968-09,5.1953
1968-10,5.3456
1968-11,5.4535
1968-12,5.9722
1969-01,6.1400
1969-02,6.1259
1969-03,6.0165
1969-04,6.1138
1969-05,6.0424
1969-06,6.4390
1969-07,7.0005
1969-08,6.9819
1969-09,7.0900
1969-10,6.9986
1969-11,7.2412
1969-12,7.8173
1970-01,7.8681
1970-02,7.1278
1970-03,6.6262
1970-04,6.5127
1970-05,6.8381
1970-06,6.6764
1970-07,6.4500
1970-08,6.4110
1970-09,6.1248
1970-10,5.9067
1970-11,5.2822
1970-12,4.8655
1971-01,4.4350
1971-02,3.6950
1971-03,3.3774
1971-04,3.8614
1971-05,4.1430
1971-06,4.7536
1971-07,5.4005
1971-08,4.9355
1971-09,4.6910
1971-10,4.4605
1971-11,4.2175
1971-12,4.0095
1972-01,3.3843
