Date,SPY_AdjClose_MonthlyAvg
2023-05,397.2566
2023-06,417.0064
2023-07,433.0019
2023-08,428.6336
2023-09,424.6409
2023-10,411.5241
2023-11,430.4695
2023-12,452.8615
2024-01,464.7898
2024-02,485.3307
2024-03,501.4148
2024-04,496.1920
2024-05,508.6979
2024-06,526.8429
2024-07,539.2522
2024-08,533.9123
2024-09,548.5665
2024-10,565.7648
2024-11,579.6928
2024-12,588.3139
2025-01,585.7672
2025-02,592.1659
2025-03,558.0124
2025-04,527.7116
2025-05,571.5421
2025-06,593.8930
2025-07,620.7065
2025-08,632.2926
2025-09,650.3377
2025-10,665.8466
2025-11,666.8954
2025-12,678.7171
2026-01,686.8444
2026-02,683.8212
2026-03,660.8645
2026-04,691.5707
2026-05,737.4357
2026-06,741.8295
2026-07,747.3825
